name,serial,link,title,title score,firstName,name score,origin,origin score,combo score,total score
3D Wizz DeeZe,13,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/13,3D Wizz,10412.33,DeeZe,311.05,,0.10,41.41,10764.89
Cat Wizard El Crypto Ball,14,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/14,Cat Wizard El Crypto,10412.33,Ball,311.05,,0.10,41.41,10764.89
Master Ape Gfunk,17,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/17,Master Ape,10412.33,Gfunk,311.05,,0.10,41.41,10764.89
Punk Rock Arcanist Joey,20,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/20,Punk Rock Arcanist,10412.33,Joey,311.05,,0.10,41.41,10764.89
Loop Master Loopify,21,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/21,Loop Master,10412.33,Loopify,311.05,,0.10,41.41,10764.89
Fortune Master Oxelrod,26,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/26,Fortune Master,10412.33,Oxelrod,311.05,,0.10,41.41,10764.89
The Great and Magical UserGnome,28,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/28,The Great and Magical,10412.33,UserGnome,311.05,,0.10,41.41,10764.89
Supa Wizz 9272,72,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/72,Supa Wizz,10412.33,9272,311.05,,0.10,41.41,10764.89
Wise Sam,76,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/76,Wise,10412.33,Sam,311.05,,0.10,41.41,10764.89
Bob the Bearded,77,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/77,the Bearded,10412.33,Bob,311.05,,0.10,41.41,10764.89
Catherine The Great,79,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/79,The Great,10412.33,Catherine,311.05,,0.10,41.41,10764.89
Headless Wizard,8888,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8888,Headless,10412.33,Wizard,311.05,,0.10,41.41,10764.89
Alien Arcanist Marlo of the Cosmos,23,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/23,Alien Arcanist,10412.33,Marlo,311.05,Cosmos,0.18,0.02,10723.59
Old Scratch,666,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/666,Old,10412.33,Scratch,19.44,,0.10,41.41,10473.28
Holy Arcanist Illuminus of the Heavens,0,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/0,Holy Arcanist,2603.08,Illuminus,12.44,Heavens,6503.64,0.02,9119.19
Wizard of Oz,1900,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1900,Wizard,61.61,,0.03,Oz,6503.64,335.44,6900.73
Master of Spots Hunter,19,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/19,,0.03,Master,311.05,Spots Hunter,6503.64,7.16,6821.88
Dwarzgarth of The Hills,75,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/75,,0.03,Dwarzgarth,311.05,The Hills,6503.64,7.16,6821.88
Bringer of Thunder,33,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/33,,0.03,Bringer,77.76,Thunder,6503.64,7.16,6588.60
Bringer of the End Times,9999,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9999,,0.03,Bringer,77.76,End Times,6503.64,7.16,6588.60
Alchemist Toby of the 7 Hues,8701,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8701,Alchemist,0.05,Toby,12.44,7 Hues,6503.64,0.02,6516.16
Void Disciple Zagan of the Catacombs,4252,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4252,Void Disciple,1.95,Zagan,6.35,Catacombs,6503.64,0.02,6511.97
Pyromancer Pezo of the Boneyard,3775,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3775,Pyromancer,0.37,Pezo,1.22,Boneyard,6503.64,0.02,6505.25
Aeromancer Apollo of the Crypt,4927,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4927,Aeromancer,1.55,Apollo,0.04,Crypt,6503.64,0.02,6505.25
Hydromancer Rita of the Dark,1106,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1106,Hydromancer,1.26,Rita,0.05,Dark,6503.64,0.02,6504.97
Hedge Wizard Chooki of the HyperLight,9070,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9070,Hedge Wizard,0.08,Chooki,0.46,HyperLight,6503.64,0.02,6504.21
Hedge Wizard Pandora of the Undead,6854,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6854,Hedge Wizard,0.08,Pandora,0.40,Undead,6503.64,0.02,6504.14
Cronus,365,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/365,,0.03,Cronus,311.05,,0.10,5653.23,5964.42
Merlin,540,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/540,,0.03,Merlin,311.05,,0.10,5653.23,5964.42
Sharkey,1000,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1000,,0.03,Sharkey,311.05,,0.10,5653.23,5964.42
Mephistopheles,1587,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1587,,0.03,Mephistopheles,311.05,,0.10,5653.23,5964.42
Aleister Crowley,1875,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1875,,0.03,Aleister Crowley,311.05,,0.10,5653.23,5964.42
Katherine,2793,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2793,,0.03,Katherine,0.78,,0.10,5653.23,5654.14
Zubin,6129,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6129,,0.03,Zubin,0.29,,0.10,5653.23,5653.65
Nikolas,7322,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7322,,0.03,Nikolas,0.23,,0.10,5653.23,5653.59
Zaros,3175,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3175,,0.03,Zaros,0.14,,0.10,5653.23,5653.50
Zelroth,4322,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4322,,0.03,Zelroth,0.12,,0.10,5653.23,5653.49
Jeldor,6351,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6351,,0.03,Jeldor,0.10,,0.10,5653.23,5653.47
Azahl,3090,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3090,,0.03,Azahl,0.08,,0.10,5653.23,5653.45
Udor,2661,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2661,,0.03,Udor,0.08,,0.10,5653.23,5653.44
Uvlius,3663,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3663,,0.03,Uvlius,0.07,,0.10,5653.23,5653.44
Solomon,1444,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1444,,0.03,Solomon,0.07,,0.10,5653.23,5653.43
Crowley,9600,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9600,,0.03,Crowley,0.06,,0.10,5653.23,5653.43
Aldus,9825,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9825,,0.03,Aldus,0.06,,0.10,5653.23,5653.43
Hadrien,9668,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9668,,0.03,Hadrien,0.05,,0.10,5653.23,5653.42
Soya,9412,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9412,,0.03,Soya,0.04,,0.10,5653.23,5653.40
Great Old One 0xmon,27,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/27,Great Old One,2603.08,0xmon,311.05,,0.10,41.41,2955.65
Great Old One Andolini,30,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/30,Great Old One,2603.08,Andolini,311.05,,0.10,41.41,2955.65
Holy Arcanist Illuminus of the Salt,3045,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3045,Holy Arcanist,2603.08,Illuminus,12.44,Salt,45.16,0.02,2660.71
Enchanter Mad Apple of the Grave,4855,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4855,Enchanter,0.05,Mad Apple,34.56,Grave,1625.91,0.02,1660.54
Celah of the Rainbow,9044,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9044,,0.03,Celah,0.08,Rainbow,1625.91,7.16,1633.18
Necromancer Zeromus of the Ash,755,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/755,Necromancer,0.65,Zeromus,1.38,Ash,1625.91,0.02,1627.96
Arch-Magician Jasper of the Rainbow,412,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/412,Arch-Magician,0.16,Jasper,0.96,Rainbow,1625.91,0.02,1627.05
Sage Voidoth of the Ash,531,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/531,Sage,0.16,Voidoth,0.22,Ash,1625.91,0.02,1626.31
Adept Milo of the Grave,2816,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2816,Adept,0.26,Milo,0.06,Grave,1625.91,0.02,1626.25
Light Mage Vatar of the Ice,9084,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9084,Light Mage,1156.93,Vatar,77.76,Ice,1.75,0.02,1236.46
Vampyre Vlad of the Citadel,6280,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6280,Vampyre,1156.93,Vlad,77.76,Citadel,0.55,0.02,1235.26
Vampyre Vlad of the Mist,1384,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1384,Vampyre,1156.93,Vlad,77.76,Mist,0.31,0.02,1235.02
Light Mage Illuminus of the Palms,8894,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8894,Light Mage,1156.93,Illuminus,12.44,Palms,0.55,0.02,1169.94
Light Mage Ilu of the Sun,4430,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4430,Light Mage,1156.93,Ilu,6.35,Sun,0.36,0.02,1163.65
Vampyre Damien of the Havens,4901,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4901,Vampyre,1156.93,Damien,3.11,Havens,0.26,0.02,1160.32
Ghost Eater Corky of the Technochrome,2756,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2756,Ghost Eater,0.82,Corky,3.84,Technochrome,722.63,0.02,727.31
Ghost Eater Kobold of the Technochrome,55,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/55,Ghost Eater,0.82,Kobold,2.57,Technochrome,722.63,0.02,726.04
Arch-Magician Poppy of the Technochrome,9383,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9383,Arch-Magician,0.16,Poppy,0.50,Technochrome,722.63,0.02,723.31
Evil Arcanist Faustus of the Great Blue,2928,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2928,Evil Arcanist,416.49,Faustus,77.76,Great Blue,45.16,0.02,539.44
Evil Arcanist Black Phillip of the Gnostics,4477,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4477,Evil Arcanist,416.49,Black Phillip,77.76,Gnostics,0.51,0.02,494.79
Evil Arcanist Gomorrah,9662,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9662,Evil Arcanist,416.49,Gomorrah,34.56,,0.10,41.41,492.57
Adept Roy G. Biv of Death,7061,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7061,Adept,0.26,Roy G. Biv,77.76,Death,406.48,0.02,484.52
Cartomancer Fiskantes,18,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/18,Cartomancer,128.55,Fiskantes,311.05,,0.10,41.41,481.11
Evil Arcanist Nick of El Dorado,8991,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8991,Evil Arcanist,416.49,Nick,34.56,El Dorado,0.66,0.02,451.74
Null Mage Malcom of Death,3795,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3795,Null Mage,26.03,Malcom,2.57,Death,406.48,0.02,435.10
Evil Arcanist Black Goat of the Wood,1,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1,Evil Arcanist,416.49,Black Goat,12.44,Wood,0.04,0.02,429.00
Solar Mage  of the Keep,3790,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3790,Solar Mage,86.05,,0.03,Keep,0.11,335.44,421.63
Conjurer Moloch of Death,6133,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6133,Conjurer,0.80,Moloch,0.64,Death,406.48,0.02,407.95
Shadow Mage Bathsheba of Death,6029,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6029,Shadow Mage,0.86,Bathsheba,0.15,Death,406.48,0.02,407.51
Colormancer Roy G. Biv of the Wild,9477,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9477,Colormancer,289.23,Roy G. Biv,77.76,Wild,0.44,0.02,367.46
Hex Mage  of the Crag,7224,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7224,Hex Mage,2.39,,0.03,Crag,25.40,335.44,363.27
Necromancer ManuelDaMoon,22,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/22,Necromancer,0.65,ManuelDaMoon,311.05,,0.10,41.41,353.21
Necromancer Nikita,25,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/25,Necromancer,0.65,Nikita,311.05,,0.10,41.41,353.21
Necromancer LeggoMyGreggo,29,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/29,Necromancer,0.65,LeggoMyGreggo,311.05,,0.10,41.41,353.21
Arcanist EyesTeethFlesh,15,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/15,Arcanist,0.17,EyesTeethFlesh,311.05,,0.10,41.41,352.74
Alchemist Star Father,3408,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3408,Alchemist,0.05,Star Father,311.05,,0.10,41.41,352.62
Shaman  of the Isle,5984,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/5984,Shaman,0.12,,0.03,Isle,16.26,335.44,351.85
Illusionist  of the Arctic,8859,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8859,Illusionist,0.51,,0.03,Arctic,13.44,335.44,349.42
Geomancer  of Cuckoo Land,3959,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3959,Geomancer,0.62,,0.03,Cuckoo Land,12.29,335.44,348.38
Clairvoyant  of the Brine,2427,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2427,Clairvoyant,4.52,,0.03,Brine,8.30,335.44,348.29
Archmagus  of Limbo,3797,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3797,Archmagus,0.01,,0.03,Limbo,12.29,335.44,347.78
Hydromancer  of the Swell,767,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/767,Hydromancer,1.26,,0.03,Swell,10.41,335.44,347.14
Holy Monk  of the Field,4857,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4857,Holy Monk,7.21,,0.03,Field,0.39,335.44,343.07
Magus  of the Cold,1667,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1667,Magus,0.05,,0.03,Cold,7.23,335.44,342.75
Pyromancer  of the Tundra,2840,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2840,Pyromancer,0.37,,0.03,Tundra,6.77,335.44,342.61
Cryptomancer  of the Desert,7786,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7786,Cryptomancer,2.71,,0.03,Desert,0.13,335.44,338.31
Hex Mage  of the Mount,6659,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6659,Hex Mage,2.39,,0.03,Mount,0.11,335.44,337.98
Cosmic Mage  of the Brambles,6250,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6250,Cosmic Mage,2.19,,0.03,Brambles,0.20,335.44,337.86
Geomancer  of the Ice,2749,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2749,Geomancer,0.62,,0.03,Ice,1.75,335.44,337.84
Summoner  of the Atheneum,961,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/961,Summoner,1.31,,0.03,Atheneum,0.86,335.44,337.65
Adept  of the Platonic Shadow,6564,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6564,Adept,0.26,,0.03,Platonic Shadow,1.64,335.44,337.37
Summoner  of the Gnostics,4085,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4085,Summoner,1.31,,0.03,Gnostics,0.51,335.44,337.30
Wild Mage  of the Dunes,7693,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7693,Wild Mage,1.11,,0.03,Dunes,0.71,335.44,337.29
Null Mage Lucifer of the Hall,2312,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2312,Null Mage,26.03,Lucifer,311.05,Hall,0.12,0.02,337.23
Illusionist  of the Event Horizon,6103,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6103,Illusionist,0.51,,0.03,Event Horizon,1.19,335.44,337.17
Archmagus  of the Psychic Leap,3476,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3476,Archmagus,0.01,,0.03,Psychic Leap,1.54,335.44,337.02
Hydromancer  of the Moors,6686,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6686,Hydromancer,1.26,,0.03,Moors,0.24,335.44,336.98
Archmagus  of the Belfry,8043,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8043,Archmagus,0.01,,0.03,Belfry,1.41,335.44,336.89
Arch-Magician  of the Toadstools,4860,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4860,Arch-Magician,0.16,,0.03,Toadstools,1.07,335.44,336.70
Cleric  of the Villa,2061,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2061,Cleric,0.88,,0.03,Villa,0.34,335.44,336.69
Archmagus  of Mu,944,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/944,Archmagus,0.01,,0.03,Mu,1.16,335.44,336.64
Archmagus  of Avalon,5679,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/5679,Archmagus,0.01,,0.03,Avalon,1.16,335.44,336.64
Runecaster  of the Mist,3661,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3661,Runecaster,0.75,,0.03,Mist,0.31,335.44,336.53
Archmagus  of Elysium,1645,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1645,Archmagus,0.01,,0.03,Elysium,1.02,335.44,336.50
Illusionist  of the Wild,2526,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2526,Illusionist,0.51,,0.03,Wild,0.44,335.44,336.42
Archmagus  of the Atheneum,632,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/632,Archmagus,0.01,,0.03,Atheneum,0.86,335.44,336.34
Archmagus  of the Rock,6213,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6213,Archmagus,0.01,,0.03,Rock,0.86,335.44,336.34
Geomancer  of the Hills,1818,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1818,Geomancer,0.62,,0.03,Hills,0.16,335.44,336.25
Necromancer  of the Desert,1642,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1642,Necromancer,0.65,,0.03,Desert,0.13,335.44,336.25
Artificer  of the Canyon,9370,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9370,Artificer,0.12,,0.03,Canyon,0.64,335.44,336.23
Necromancer  of the Keep,5530,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/5530,Necromancer,0.65,,0.03,Keep,0.11,335.44,336.23
Magus  of Arcadia,9692,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9692,Magus,0.05,,0.03,Arcadia,0.63,335.44,336.15
Archmagus  of El Dorado,4093,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4093,Archmagus,0.01,,0.03,El Dorado,0.66,335.44,336.15
Illusionist  of the Desert,6075,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6075,Illusionist,0.51,,0.03,Desert,0.13,335.44,336.11
Shaman  of the Capital,6721,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/6721,Shaman,0.12,,0.03,Capital,0.50,335.44,336.09
