name,serial,title,title score,firstName,name score,location,location score,length score,combo score,total score
The Witch of the West,1939,The Witch,169.74,,0.22,West,72.65,7.23,43.59,293.43
Rogue Mage Andy,7,Rogue Mage,169.74,Andy,21.06,,0.29,19.16,15.25,225.49
Bunny Wizard Bernardo,8,Bunny Wizard,169.74,Bernardo,21.06,,0.29,19.16,15.25,225.49
Prismatic Magi Braindraind,9,Prismatic Magi,169.74,Braindraind,21.06,,0.29,19.16,15.25,225.49
Edge Arcanist Artchick,10,Edge Arcanist,169.74,Artchick,21.06,,0.29,19.16,15.25,225.49
Crow Master Claire Sliver,11,Crow Master Claire,169.74,Sliver,21.06,,0.29,19.16,15.25,225.49
3D Wizz DeeZe,13,3D Wizz,169.74,DeeZe,21.06,,0.29,19.16,15.25,225.49
Cat Wizard El Crypto Ball,14,Cat Wizard El Crypto,169.74,Ball,21.06,,0.29,19.16,15.25,225.49
Master Ape Gfunk,17,Master Ape,169.74,Gfunk,21.06,,0.29,19.16,15.25,225.49
Punk Rock Arcanist Joey,20,Punk Rock Arcanist,169.74,Joey,21.06,,0.29,19.16,15.25,225.49
Loop Master Loopify,21,Loop Master,169.74,Loopify,21.06,,0.29,19.16,15.25,225.49
Fortune Master Oxelrod,26,Fortune Master,169.74,Oxelrod,21.06,,0.29,19.16,15.25,225.49
Supa Wizz 9272,72,Supa Wizz,169.74,9272,21.06,,0.29,19.16,15.25,225.49
Wise Sam,76,Wise,169.74,Sam,21.06,,0.29,19.16,15.25,225.49
Bob the Bearded,77,the Bearded,169.74,Bob,21.06,,0.29,19.16,15.25,225.49
Headless Wizard,8888,Headless,169.74,Wizard,21.06,,0.29,19.16,15.25,225.49
Sacred Key Master,777,Sacred Key,169.74,Master,10.53,,0.29,19.16,15.25,214.96
Old Scratch,666,Old,169.74,Scratch,5.26,,0.29,19.16,15.25,209.69
Alien Arcanist Marlo of the Cosmos,23,Alien Arcanist,169.74,Marlo,21.06,Cosmos,0.39,0.48,0.37,192.04
Holy Arcanist Illuminus of the Heavens,0,Holy Arcanist,84.87,Illuminus,4.21,Heavens,72.65,0.48,0.37,162.58
Great Old One 0xmon,27,Great Old One,84.87,0xmon,21.06,,0.29,19.16,15.25,140.62
The Great and Magical UserGnome,28,The Great,84.87,and Magical UserGnome,21.06,,0.29,19.16,15.25,140.62
Great Old One Andolini,30,Great Old One,84.87,Andolini,21.06,,0.29,19.16,15.25,140.62
Catherine The Great,79,The Great,84.87,Catherine,21.06,,0.29,19.16,15.25,140.62
Wizard of Oz,1900,Wizard,13.06,,0.22,Oz,72.65,7.23,43.59,136.75
Dwarzgarth of The Hills,75,,0.30,Dwarzgarth,21.06,The Hills,72.65,7.23,6.37,107.60
Master of Spots Hunter,19,,0.30,Master,10.53,Spots Hunter,72.65,7.23,6.37,97.08
Bringer of Thunder,33,,0.30,Bringer,10.53,Thunder,72.65,7.23,6.37,97.08
Bringer of the End Times,9999,,0.30,Bringer,10.53,End Times,72.65,7.23,6.37,97.08
Holy Arcanist Illuminus of the Salt,3045,Holy Arcanist,84.87,Illuminus,4.21,Salt,6.05,0.48,0.37,95.99
Void Disciple Zagan of the Catacombs,4252,Void Disciple,2.33,Zagan,3.01,Catacombs,72.65,0.48,0.37,78.84
Alchemist Toby of the 7 Hues,8701,Alchemist,0.38,Toby,4.21,7 Hues,72.65,0.48,0.37,78.10
Pyromancer Pezo of the Boneyard,3775,Pyromancer,1.02,Pezo,1.32,Boneyard,72.65,0.48,0.37,75.84
Aeromancer Apollo of the Crypt,4927,Aeromancer,2.07,Apollo,0.23,Crypt,72.65,0.48,0.37,75.80
Evil Arcanist Gomorrah,9662,Evil Arcanist,33.95,Gomorrah,7.02,,0.29,19.16,15.25,75.66
Hydromancer Rita of the Dark,1106,Hydromancer,1.87,Rita,0.26,Dark,72.65,0.48,0.37,75.63
Hedge Wizard Chooki of the HyperLight,9070,Hedge Wizard,0.47,Chooki,0.81,HyperLight,72.65,0.48,0.37,74.78
Hedge Wizard Pandora of the Undead,6854,Hedge Wizard,0.47,Pandora,0.75,Undead,72.65,0.48,0.37,74.73
Cartomancer Fiskantes,18,Cartomancer,18.86,Fiskantes,21.06,,0.29,19.16,15.25,74.61
Light Mage Vatar of the Ice,9084,Light Mage,56.58,Vatar,10.53,Ice,1.19,0.48,0.37,69.16
Vampyre Vlad of the Citadel,6280,Vampyre,56.58,Vlad,10.53,Citadel,0.67,0.48,0.37,68.63
Vampyre Vlad of the Mist,1384,Vampyre,56.58,Vlad,10.53,Mist,0.50,0.48,0.37,68.47
Solar Mage  of the Keep,3790,Solar Mage,15.43,,0.22,Keep,0.30,7.23,43.59,66.77
Light Mage Illuminus of the Palms,8894,Light Mage,56.58,Illuminus,4.21,Palms,0.67,0.48,0.37,62.31
Light Mage Ilu of the Sun,4430,Light Mage,56.58,Ilu,3.01,Sun,0.54,0.48,0.37,60.98
Vampyre Damien of the Havens,4901,Vampyre,56.58,Damien,2.11,Havens,0.46,0.48,0.37,60.00
Wizard Lupa,9690,Wizard,13.06,Lupa,10.53,,0.29,19.16,15.25,58.28
Hex Mage  of the Crag,7224,Hex Mage,2.57,,0.22,Crag,4.54,7.23,43.59,58.16
Clairvoyant  of the Brine,2427,Clairvoyant,3.54,,0.22,Brine,2.59,7.23,43.59,57.18
Necromancer ManuelDaMoon,22,Necromancer,1.34,ManuelDaMoon,21.06,,0.29,19.16,15.25,57.09
Necromancer Nikita,25,Necromancer,1.34,Nikita,21.06,,0.29,19.16,15.25,57.09
Necromancer LeggoMyGreggo,29,Necromancer,1.34,LeggoMyGreggo,21.06,,0.29,19.16,15.25,57.09
Arcanist EyesTeethFlesh,15,Arcanist,0.69,EyesTeethFlesh,21.06,,0.29,19.16,15.25,56.44
Alchemist Star Father,3408,Alchemist,0.38,Star Father,21.06,,0.29,19.16,15.25,56.14
Holy Monk  of the Field,4857,Holy Monk,4.47,,0.22,Field,0.56,7.23,43.59,56.07
Hydromancer  of the Swell,767,Hydromancer,1.87,,0.22,Swell,2.91,7.23,43.59,55.82
Illusionist  of the Arctic,8859,Illusionist,1.19,,0.22,Arctic,3.30,7.23,43.59,55.53
Geomancer  of Cuckoo Land,3959,Geomancer,1.31,,0.22,Cuckoo Land,3.16,7.23,43.59,55.51
Shaman  of the Isle,5984,Shaman,0.57,,0.22,Isle,3.63,7.23,43.59,55.25
Pyromancer  of the Tundra,2840,Pyromancer,1.02,,0.22,Tundra,2.34,7.23,43.59,54.40
Archmagus  of Limbo,3797,Archmagus,0.16,,0.22,Limbo,3.16,7.23,43.59,54.36
Cryptomancer  of the Desert,7786,Cryptomancer,2.74,,0.22,Desert,0.32,7.23,43.59,54.11
Hex Mage  of the Mount,6659,Hex Mage,2.57,,0.22,Mount,0.30,7.23,43.59,53.92
Cosmic Mage  of the Brambles,6250,Cosmic Mage,2.46,,0.22,Brambles,0.40,7.23,43.59,53.91
Magus  of the Cold,1667,Magus,0.37,,0.22,Cold,2.42,7.23,43.59,53.83
Summoner  of the Atheneum,961,Summoner,1.91,,0.22,Atheneum,0.84,7.23,43.59,53.79
Summoner  of the Gnostics,4085,Summoner,1.91,,0.22,Gnostics,0.64,7.23,43.59,53.60
Wild Mage  of the Dunes,7693,Wild Mage,1.75,,0.22,Dunes,0.76,7.23,43.59,53.55
Geomancer  of the Ice,2749,Geomancer,1.31,,0.22,Ice,1.19,7.23,43.59,53.54
Hydromancer  of the Moors,6686,Hydromancer,1.87,,0.22,Moors,0.45,7.23,43.59,53.36
Illusionist  of the Event Horizon,6103,Illusionist,1.19,,0.22,Event Horizon,0.98,7.23,43.59,53.21
Cleric  of the Villa,2061,Cleric,1.56,,0.22,Villa,0.53,7.23,43.59,53.13
Adept  of the Platonic Shadow,6564,Adept,0.84,,0.22,Platonic Shadow,1.15,7.23,43.59,53.04
Runecaster  of the Mist,3661,Runecaster,1.44,,0.22,Mist,0.50,7.23,43.59,52.98
Illusionist  of the Wild,2526,Illusionist,1.19,,0.22,Wild,0.60,7.23,43.59,52.83
Geomancer  of the Hills,1818,Geomancer,1.31,,0.22,Hills,0.36,7.23,43.59,52.71
Necromancer  of the Desert,1642,Necromancer,1.34,,0.22,Desert,0.32,7.23,43.59,52.71
Necromancer  of the Keep,5530,Necromancer,1.34,,0.22,Keep,0.30,7.23,43.59,52.68
Arch-Magician  of the Toadstools,4860,Arch-Magician,0.66,,0.22,Toadstools,0.93,7.23,43.59,52.64
Illusionist  of the Desert,6075,Illusionist,1.19,,0.22,Desert,0.32,7.23,43.59,52.56
Illusionist  of the Keep,3256,Illusionist,1.19,,0.22,Keep,0.30,7.23,43.59,52.53
Artificer  of the Canyon,9370,Artificer,0.58,,0.22,Canyon,0.72,7.23,43.59,52.34
Arcanist  of the Wild,9368,Arcanist,0.69,,0.22,Wild,0.60,7.23,43.59,52.33
Archmagus  of the Psychic Leap,3476,Archmagus,0.16,,0.22,Psychic Leap,1.12,7.23,43.59,52.32
Archmagus  of the Belfry,8043,Archmagus,0.16,,0.22,Belfry,1.07,7.23,43.59,52.27
Shaman  of the Capital,6721,Shaman,0.57,,0.22,Capital,0.64,7.23,43.59,52.26
Druid  of the Forest,2459,Druid,0.54,,0.22,Forest,0.64,7.23,43.59,52.22
Sage  of the Mist,8042,Sage,0.66,,0.22,Mist,0.50,7.23,43.59,52.21
Arcanist  of the Havens,5397,Arcanist,0.69,,0.22,Havens,0.46,7.23,43.59,52.20
Archmagus  of Mu,944,Archmagus,0.16,,0.22,Mu,0.97,7.23,43.59,52.17
Archmagus  of Avalon,5679,Archmagus,0.16,,0.22,Avalon,0.97,7.23,43.59,52.17
Magus  of Arcadia,9692,Magus,0.37,,0.22,Arcadia,0.71,7.23,43.59,52.13
Archmagus  of Elysium,1645,Archmagus,0.16,,0.22,Elysium,0.91,7.23,43.59,52.11
Alchemist  of the Riviera,7376,Alchemist,0.38,,0.22,Riviera,0.67,7.23,43.59,52.10
Alchemist  of the Capital,8403,Alchemist,0.38,,0.22,Capital,0.64,7.23,43.59,52.07
Enchanter  of the Gnostics,2196,Enchanter,0.35,,0.22,Gnostics,0.64,7.23,43.59,52.04
Archmagus  of the Atheneum,632,Archmagus,0.16,,0.22,Atheneum,0.84,7.23,43.59,52.04
Archmagus  of the Rock,6213,Archmagus,0.16,,0.22,Rock,0.84,7.23,43.59,52.04
Sage  of the Hall,6249,Sage,0.66,,0.22,Hall,0.31,7.23,43.59,52.02
Alchemist  of the Sacred Pillars,3706,Alchemist,0.38,,0.22,Sacred Pillars,0.57,7.23,43.59,52.00
Sorcerer  of the River,5284,Sorcerer,0.30,,0.22,River,0.65,7.23,43.59,51.99
Magus  of the Sun,7775,Magus,0.37,,0.22,Sun,0.54,7.23,43.59,51.95
Archmagus  of El Dorado,4093,Archmagus,0.16,,0.22,El Dorado,0.73,7.23,43.59,51.94
Arcanist  of the Wood,6031,Arcanist,0.69,,0.22,Wood,0.19,7.23,43.59,51.93
Sage  of the Wood,8046,Sage,0.66,,0.22,Wood,0.19,7.23,43.59,51.90
Druid  of the Marsh,8608,Druid,0.54,,0.22,Marsh,0.31,7.23,43.59,51.89
Alchemist  of the Havens,9657,Alchemist,0.38,,0.22,Havens,0.46,7.23,43.59,51.89
Archmagus  of the Riviera,4376,Archmagus,0.16,,0.22,Riviera,0.67,7.23,43.59,51.87
Archmagus  of the Forest,6815,Archmagus,0.16,,0.22,Forest,0.64,7.23,43.59,51.84
Alchemist  of the Cosmos,6954,Alchemist,0.38,,0.22,Cosmos,0.39,7.23,43.59,51.82
Archmagus  of the Mountain,3165,Archmagus,0.16,,0.22,Mountain,0.61,7.23,43.59,51.81
Artificer  of the Wood,9496,Artificer,0.58,,0.22,Wood,0.19,7.23,43.59,51.81
Archmagus  of the Sacred Pillars,415,Archmagus,0.16,,0.22,Sacred Pillars,0.57,7.23,43.59,51.77
Magus  of the Tower,5350,Magus,0.37,,0.22,Tower,0.36,7.23,43.59,51.77
Alchemist  of the Mount,2050,Alchemist,0.38,,0.22,Mount,0.30,7.23,43.59,51.73
Alchemist  of the Mount,6361,Alchemist,0.38,,0.22,Mount,0.30,7.23,43.59,51.73
Alchemist  of the Keep,7723,Alchemist,0.38,,0.22,Keep,0.30,7.23,43.59,51.72
Enchanter  of the Keep,4155,Enchanter,0.35,,0.22,Keep,0.30,7.23,43.59,51.69
Sorcerer  of the Marsh,1216,Sorcerer,0.30,,0.22,Marsh,0.31,7.23,43.59,51.65
Magus  of the Wood,9916,Magus,0.37,,0.22,Wood,0.19,7.23,43.59,51.60
Archmagus  of the Grotto,9696,Archmagus,0.16,,0.22,Grotto,0.39,7.23,43.59,51.60
Archmagus  of the Steppe,2985,Archmagus,0.16,,0.22,Steppe,0.33,7.23,43.59,51.53
Archmagus  of the Hall,3900,Archmagus,0.16,,0.22,Hall,0.31,7.23,43.59,51.51
Archmagus  of the Hall,4464,Archmagus,0.16,,0.22,Hall,0.31,7.23,43.59,51.51
Archmagus  of the Mount,1838,Archmagus,0.16,,0.22,Mount,0.30,7.23,43.59,51.50
Archmagus  of the Valley,2415,Archmagus,0.16,,0.22,Valley,0.30,7.23,43.59,51.50
Archmagus  of the Wood,9887,Archmagus,0.16,,0.22,Wood,0.19,7.23,43.59,51.39
Evil Arcanist Faustus of the Great Blue,2928,Evil Arcanist,33.95,Faustus,10.53,Great Blue,6.05,0.48,0.37,51.39
Celah of the Rainbow,9044,,0.30,Celah,0.33,Rainbow,36.32,7.23,6.37,50.55
Necromancer Orange Menace,6588,Necromancer,1.34,Orange Menace,10.53,,0.29,19.16,15.25,46.56
Evil Arcanist Black Phillip of the Gnostics,4477,Evil Arcanist,33.95,Black Phillip,10.53,Gnostics,0.64,0.48,0.37,45.98
Arcanist Shoi-Ming,5555,Arcanist,0.69,Shoi-Ming,10.53,,0.29,19.16,15.25,45.92
Enchanter Mad Apple of the Grave,4855,Enchanter,0.35,Mad Apple,7.02,Grave,36.32,0.48,0.37,44.55
Null Mage Eden,4623,Null Mage,8.49,Eden,0.27,,0.29,19.16,15.25,43.45
Necromancer Nick,8558,Necromancer,1.34,Nick,7.02,,0.29,19.16,15.25,43.05
Fortune Teller Purple Boy,2146,Fortune Teller,5.66,Purple Boy,2.63,,0.29,19.16,15.25,42.98
Evil Arcanist Nick of El Dorado,8991,Evil Arcanist,33.95,Nick,7.02,El Dorado,0.73,0.48,0.37,42.56
Fortune Teller Louis,4572,Fortune Teller,5.66,Louis,2.11,,0.29,19.16,15.25,42.46
Artificer Benito,5133,Artificer,0.58,Benito,7.02,,0.29,19.16,15.25,42.29
Druid Rainman,4392,Druid,0.54,Rainman,7.02,,0.29,19.16,15.25,42.25
Summoner Alvaro,2183,Summoner,1.91,Alvaro,5.26,,0.29,19.16,15.25,41.87
Fortune Teller Argus,5919,Fortune Teller,5.66,Argus,0.66,,0.29,19.16,15.25,41.01
Ice Mage Twinkletoes,5142,Ice Mage,2.07,Twinkletoes,4.21,,0.29,19.16,15.25,40.98
Summoner Giacomo,4605,Summoner,1.91,Giacomo,4.21,,0.29,19.16,15.25,40.81
Ghost Eater Black Goat,2056,Ghost Eater,1.50,Black Goat,4.21,,0.29,19.16,15.25,40.41
Colormancer Roy G. Biv of the Wild,9477,Colormancer,28.29,Roy G. Biv,10.53,Wild,0.60,0.48,0.37,40.27
Void Disciple Abaddon,5773,Void Disciple,2.33,Abaddon,3.01,,0.29,19.16,15.25,40.03
Pyromancer Pepo,8880,Pyromancer,1.02,Pepo,4.21,,0.29,19.16,15.25,39.92
Necromancer Zeromus of the Ash,755,Necromancer,1.34,Zeromus,1.40,Ash,36.32,0.48,0.37,39.92
Oracle Corvin,1121,Oracle,4.04,Corvin,1.17,,0.29,19.16,15.25,39.90
Scryer Ixar,7049,Scryer,4.71,Ixar,0.27,,0.29,19.16,15.25,39.68
Shaman Hu,9574,Shaman,0.57,Hu,4.21,,0.29,19.16,15.25,39.48
Voodoo Priest Victor,4964,Voodoo Priest,2.53,Victor,2.11,,0.29,19.16,15.25,39.33
Alchemist Hongo,2038,Alchemist,0.38,Hongo,4.21,,0.29,19.16,15.25,39.29
Evil Arcanist Black Goat of the Wood,1,Evil Arcanist,33.95,Black Goat,4.21,Wood,0.19,0.48,0.37,39.20
Augurer Gwendolin,5603,Augurer,3.26,Gwendolin,1.17,,0.29,19.16,15.25,39.13
Augurer Ravana,2137,Augurer,3.26,Ravana,1.11,,0.29,19.16,15.25,39.07
Arch-Magician Jasper of the Rainbow,412,Arch-Magician,0.66,Jasper,1.17,Rainbow,36.32,0.48,0.37,39.01
Bard Eliphas,118,Bard,3.03,Eliphas,1.24,,0.29,19.16,15.25,38.96
Void Disciple Norix,7484,Void Disciple,2.33,Norix,1.91,,0.29,19.16,15.25,38.93
Battlemage Juniper,6607,Battlemage,2.46,Juniper,1.75,,0.29,19.16,15.25,38.91
Arcanist Yan,9369,Arcanist,0.69,Yan,3.51,,0.29,19.16,15.25,38.90
Sage Kang,4233,Sage,0.66,Kang,3.51,,0.29,19.16,15.25,38.87
Artificer Alice,8447,Artificer,0.58,Alice,3.51,,0.29,19.16,15.25,38.78
Battlemage Bullock,9633,Battlemage,2.46,Bullock,1.50,,0.29,19.16,15.25,38.66
Evoker Duzzle,7681,Evoker,2.57,Duzzle,1.32,,0.29,19.16,15.25,38.58
Wild Mage Yookoo,6035,Wild Mage,1.75,Yookoo,2.11,,0.29,19.16,15.25,38.55
Clairvoyant Angus,4130,Clairvoyant,3.54,Angus,0.21,,0.29,19.16,15.25,38.44
Sage Voidoth of the Ash,531,Sage,0.66,Voidoth,0.55,Ash,36.32,0.48,0.37,38.40
Sage Digby,1454,Sage,0.66,Digby,3.01,,0.29,19.16,15.25,38.36
Cosmic Mage Willow,722,Cosmic Mage,2.46,Willow,1.17,,0.29,19.16,15.25,38.32
Adept Milo of the Grave,2816,Adept,0.84,Milo,0.28,Grave,36.32,0.48,0.37,38.31
Ghost Eater Karasu,7713,Ghost Eater,1.50,Karasu,2.11,,0.29,19.16,15.25,38.30
Summoner Oxnard,2624,Summoner,1.91,Oxnard,1.62,,0.29,19.16,15.25,38.22
Void Disciple Liliana,8737,Void Disciple,2.33,Liliana,1.17,,0.29,19.16,15.25,38.19
Void Disciple Anton,8974,Void Disciple,2.33,Anton,1.11,,0.29,19.16,15.25,38.13
Geomancer Behemoth,851,Geomancer,1.31,Behemoth,2.11,,0.29,19.16,15.25,38.11
Cosmic Mage Calista,7899,Cosmic Mage,2.46,Calista,0.92,,0.29,19.16,15.25,38.07
Pyromancer Charlord,4710,Pyromancer,1.02,Charlord,2.34,,0.29,19.16,15.25,38.05
Sorcerer Zaim,9253,Sorcerer,0.30,Zaim,3.01,,0.29,19.16,15.25,38.00
Bard Hadrien,9522,Bard,3.03,Hadrien,0.27,,0.29,19.16,15.25,38.00
Cosmic Mage Brutus,8261,Cosmic Mage,2.46,Brutus,0.84,,0.29,19.16,15.25,38.00
Cleric Jastor,6443,Cleric,1.56,Jastor,1.62,,0.29,19.16,15.25,37.87
Hedge Wizard Elizabeth,3386,Hedge Wizard,0.47,Elizabeth,2.63,,0.29,19.16,15.25,37.80
Shadow Mage Izible,3549,Shadow Mage,1.54,Izible,1.50,,0.29,19.16,15.25,37.74
Aeromancer Asmodeus,7593,Aeromancer,2.07,Asmodeus,0.92,,0.29,19.16,15.25,37.68
Adept JackDaw,4669,Adept,0.84,JackDaw,2.11,,0.29,19.16,15.25,37.64
Battlemage Lux,2213,Battlemage,2.46,Lux,0.49,,0.29,19.16,15.25,37.64
Ice Mage Drusilla,984,Ice Mage,2.07,Drusilla,0.88,,0.29,19.16,15.25,37.64
Ice Mage Talon,2602,Ice Mage,2.07,Talon,0.88,,0.29,19.16,15.25,37.64
Ice Mage Maia,8636,Ice Mage,2.07,Maia,0.88,,0.29,19.16,15.25,37.64
Pyromancer Koop,6469,Pyromancer,1.02,Koop,1.91,,0.29,19.16,15.25,37.62
Hex Mage Milo,5182,Hex Mage,2.57,Milo,0.28,,0.29,19.16,15.25,37.55
Alchemist Patch,603,Alchemist,0.38,Patch,2.34,,0.29,19.16,15.25,37.42
Alchemist Charlord,1512,Alchemist,0.38,Charlord,2.34,,0.29,19.16,15.25,37.42
Enchanter Corky,2512,Enchanter,0.35,Corky,2.34,,0.29,19.16,15.25,37.39
Shaman Fugh,5025,Shaman,0.57,Fugh,2.11,,0.29,19.16,15.25,37.37
Sorcerer Kazud,2188,Sorcerer,0.30,Kazud,2.34,,0.29,19.16,15.25,37.33
Ice Mage Durm,9142,Ice Mage,2.07,Durm,0.55,,0.29,19.16,15.25,37.32
Adept Shigenjo,5502,Adept,0.84,Shigenjo,1.75,,0.29,19.16,15.25,37.29
Electromancer Allistair,3257,Electromancer,2.18,Allistair,0.41,,0.29,19.16,15.25,37.28
Hedge Wizard Rumpleskin,2240,Hedge Wizard,0.47,Rumpleskin,2.11,,0.29,19.16,15.25,37.27
Hedge Wizard Azazel,6206,Hedge Wizard,0.47,Azazel,2.11,,0.29,19.16,15.25,37.27
Ghost Eater Edge,2047,Ghost Eater,1.50,Edge,1.05,,0.29,19.16,15.25,37.25
Ice Mage Robert,244,Ice Mage,2.07,Robert,0.47,,0.29,19.16,15.25,37.23
Witch Lavinia,9172,Witch,0.61,Lavinia,1.91,,0.29,19.16,15.25,37.22
Illusionist Peppy,1697,Illusionist,1.19,Peppy,1.32,,0.29,19.16,15.25,37.20
Aeromancer Allistair,1016,Aeromancer,2.07,Allistair,0.41,,0.29,19.16,15.25,37.18
Necromancer Anton,7028,Necromancer,1.34,Anton,1.11,,0.29,19.16,15.25,37.14
Arch-Magician Jig,8769,Arch-Magician,0.66,Jig,1.75,,0.29,19.16,15.25,37.11
Ice Mage Ofaris,595,Ice Mage,2.07,Ofaris,0.33,,0.29,19.16,15.25,37.10
Hedge Wizard Keziah,5116,Hedge Wizard,0.47,Keziah,1.91,,0.29,19.16,15.25,37.08
Pyromancer Duzzle,1964,Pyromancer,1.02,Duzzle,1.32,,0.29,19.16,15.25,37.03
Pyromancer Peppy,4180,Pyromancer,1.02,Peppy,1.32,,0.29,19.16,15.25,37.03
Conjurer Flynn,1829,Conjurer,1.49,Flynn,0.75,,0.29,19.16,15.25,36.93
Witch Ekmira,9525,Witch,0.61,Ekmira,1.62,,0.29,19.16,15.25,36.93
Arcanist Bullock,3385,Arcanist,0.69,Bullock,1.50,,0.29,19.16,15.25,36.89
Colormancer Rainman of the Realm,7377,Colormancer,28.29,Rainman,7.02,Realm,0.68,0.48,0.37,36.84
Magus Jameel,2743,Magus,0.37,Jameel,1.75,,0.29,19.16,15.25,36.82
Colormancer Colorman of the Capital,847,Colormancer,28.29,Colorman,7.02,Capital,0.64,0.48,0.37,36.80
Arcanist Scorch,297,Arcanist,0.69,Scorch,1.40,,0.29,19.16,15.25,36.79
Hedge Wizard Florah,2893,Hedge Wizard,0.47,Florah,1.62,,0.29,19.16,15.25,36.79
Adept Ursula,3746,Adept,0.84,Ursula,1.24,,0.29,19.16,15.25,36.78
Adept Eronin,7044,Adept,0.84,Eronin,1.24,,0.29,19.16,15.25,36.78
Ghost Eater Voidoth,6047,Ghost Eater,1.50,Voidoth,0.55,,0.29,19.16,15.25,36.75
Illusionist Poppy,4229,Illusionist,1.19,Poppy,0.84,,0.29,19.16,15.25,36.72
Magus Zorko,7945,Magus,0.37,Zorko,1.62,,0.29,19.16,15.25,36.68
Druid Adium,7317,Druid,0.54,Adium,1.40,,0.29,19.16,15.25,36.63
Thaumaturge Crowley,5048,Thaumaturge,1.60,Crowley,0.30,,0.29,19.16,15.25,36.59
Necromancer Voidoth,5722,Necromancer,1.34,Voidoth,0.55,,0.29,19.16,15.25,36.58
Cleric Celah,8836,Cleric,1.56,Celah,0.33,,0.29,19.16,15.25,36.58
Thaumaturge Milo,1846,Thaumaturge,1.60,Milo,0.28,,0.29,19.16,15.25,36.58
Illusionist Samuel,6751,Illusionist,1.19,Samuel,0.68,,0.29,19.16,15.25,36.56
Witch Ursula,7676,Witch,0.61,Ursula,1.24,,0.29,19.16,15.25,36.55
Witch Delilah,8999,Witch,0.61,Delilah,1.24,,0.29,19.16,15.25,36.55
Runecaster Zelroth,8759,Runecaster,1.44,Zelroth,0.41,,0.29,19.16,15.25,36.55
Ghost Eater Azahl,3835,Ghost Eater,1.50,Azahl,0.34,,0.29,19.16,15.25,36.54
Charmer Beyna,8566,Charmer,1.20,Beyna,0.58,,0.29,19.16,15.25,36.48
Necromancer Tundror,8374,Necromancer,1.34,Tundror,0.45,,0.29,19.16,15.25,36.48
Geomancer Hothor,4921,Geomancer,1.31,Hothor,0.48,,0.29,19.16,15.25,36.48
